,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tw,reply,length
6080,8098,28955,28955,28955,28955,28955,28955,29265,1109,1431373720082427920,1431321785803452416,1630101063000.0,2021-08-27 17:51:03,-400,,"@RonFilipkowski Hey, Connor, it’s not too late to repair your past.  https://t.co/WHt0q2MfHn",en,[],[],1585739035,1585739035,megabyte407,🗽💉𝚖𝚎𝚐𝚊𝚋𝚢𝚝𝚎💫 🐍,5,17,https://twitter.com/megabyte407/status/1431373720082427920,[],['https://pbs.twimg.com/tweet_video_thumb/E91Czm1WEAsklsD.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91Czm1WEAsklsD.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'RonFilipkowski', 'name': 'Ron Filipkowski', 'id': '1298372735383605249'}]",,,,,"Hey, Connor, it’s not too late to repair your past.",True,10
10658,12676,43603,43603,43603,43603,43603,43603,44043,1839,1431468939792601091,1431468939792601091,1630123765000.0,2021-08-28 00:09:25,-400,,my hourly i love you xdjclub —   https://t.co/AYdu79WsM3  https://t.co/Snbn6ch7y7,en,[],[],1371099998310518785,1371099998310518785,xdjclub,🗯,6,0,https://twitter.com/xdjclub/status/1431468939792601091,['https://curiouscat.qa/xdjclub/post/1235904175'],['https://pbs.twimg.com/tweet_video_thumb/E92ZaRBWYAMjWBN.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92ZaRBWYAMjWBN.jpg,False,1,1,0,,.gif,,,,,,,[],,,,,my hourly i love you xdjclub —,False,7
604,2622,11214,11214,11214,11214,11214,11214,11338,1288,1431231220923371522,1430996849964498944,1630067088000.0,2021-08-27 08:24:48,-400,,@SerasSilver We all know who’s to blame  https://t.co/QqPD640TFx,en,[],[],1234215788938174466,1234215788938174466,NightToaster655,NightToaster656,5,8,https://twitter.com/NightToaster655/status/1431231220923371522,[],['https://pbs.twimg.com/tweet_video_thumb/E9zBNNiXIAUYt2p.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zBNNiXIAUYt2p.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'SerasSilver', 'name': 'SerasSilver', 'id': '1091740882032869378'}]",,,,,We all know who’s to blame,True,6
5552,7570,27344,27344,27344,27344,27344,27344,27637,1494,1431354843185176583,1431354843185176583,1630096562000.0,2021-08-27 16:36:02,-400,,Hey #ARMYs :-) @MaxwellsHouse &amp; @LaCrystalRosas are gonna drop that #ButterRemixFtMegan by @bts_bighit for ya in less than 10 MINUTES!! Hit the link and listen LIVE!!!  📻🔊  https://t.co/wt2zme7bvZ  https://t.co/xypsFuPasJ,en,"['armys', 'butterremixftmegan']",[],19955482,19955482,Z100NewYork,Z100 New York,5,16,https://twitter.com/Z100NewYork/status/1431354843185176583,['http://z100.com/listen'],['https://pbs.twimg.com/tweet_video_thumb/E90xo_jXEAAyT2N.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90xo_jXEAAyT2N.jpg,False,4,1,3,,.gif,,,,,,,[],,,,,Hey ARMYs :-) &amp; are gonna drop that ButterRemixFtMegan by  bighit for ya in less than 10 MINUTES!! Hit the link and listen LIVE!!! 📻🔊,False,25
9842,11860,40944,40944,40944,40944,40944,40944,41352,1160,1431457065055051778,1431457065055051778,1630120934000.0,2021-08-27 23:22:14,-400,,Meanwhile Alex in Mordis on social media:  https://t.co/9LutVfuwYB,en,[],[],1421490286467842058,1421490286467842058,MMS_1994,MMS,5,23,https://twitter.com/MMS_1994/status/1431457065055051778,[],['https://pbs.twimg.com/tweet_video_thumb/E92Om2pVUAk-p1S.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92Om2pVUAk-p1S.jpg,False,0,0,0,https://twitter.com/ToyaRochelle/status/1431286144046706689,.gif,,,,,,,[],,,,,Meanwhile Alex in Mordis on social media:,False,7
7113,9131,32344,32344,32344,32344,32344,32344,32678,517,1431403921008906243,1431403921008906243,1630108263000.0,2021-08-27 19:51:03,-400,,hold on why are tehy playing all in kor version  https://t.co/FbhrIgjFg9,en,[],[],1419008839114952707,1419008839114952707,skzene,🌬,5,19,https://twitter.com/skzene/status/1431403921008906243,[],['https://pbs.twimg.com/tweet_video_thumb/E91dx2lXMAI6w8E.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91dx2lXMAI6w8E.jpg,False,1,0,0,,.gif,,,,,,,[],,,,,hold on why are tehy playing all in kor version,False,10
509,2527,10850,10850,10850,10850,10850,10850,10969,919,1431231263290101768,1431229549992312836,1630067098000.0,2021-08-27 08:24:58,-400,,@_milkdromeda__ Push through  https://t.co/aaOidLrbxA,en,[],[],1111309469634519040,1111309469634519040,Uncle_Paisley,kininfinite.com,5,8,https://twitter.com/Uncle_Paisley/status/1431231263290101768,[],['https://pbs.twimg.com/tweet_video_thumb/E9zBPvNWUAIZRxj.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zBPvNWUAIZRxj.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': '_milkdromeda__', 'name': 'mayo-shi', 'id': '890811378'}]",,,,,Push through,True,2
10108,12126,41766,41766,41766,41766,41766,41766,42181,1989,1431456953713238017,1431456953713238017,1630120907000.0,2021-08-27 23:21:47,-400,,For real though... I'm going to bed. Looking forward to reading all of your loving and positive comments in the morning!  https://t.co/S6IuQGKcvz,en,[],[],884255406238945281,884255406238945281,TheCoachCoop,Coop,5,23,https://twitter.com/TheCoachCoop/status/1431456953713238017,[],['https://pbs.twimg.com/tweet_video_thumb/E92Ogi7XsAU2-P-.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92Ogi7XsAU2-P-.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,For real though... I'm going to bed. Looking forward to reading all of your loving and positive comments in the morning!,False,21
8884,10902,37823,37823,37823,37823,37823,37823,38214,39,1431449977826553857,1431449977826553857,1630119244000.0,2021-08-27 22:54:04,-400,,3.50am here in the Uk.  I was almost dozing off but the crack off Stanton's bat when he hit that HR woke me up.   #SquadUp  https://t.co/5bl3quS83g,en,['squadup'],[],435713530,435713530,rich29uk,Mark Gray,5,22,https://twitter.com/rich29uk/status/1431449977826553857,[],['https://pbs.twimg.com/tweet_video_thumb/E92IKanXEAES7qT.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E92IKanXEAES7qT.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,3.50am here in the Uk. I was almost dozing off but the crack off Stanton's bat when he hit that HR woke me up. SquadUp,False,25
2618,4636,18074,18074,18074,18074,18074,18074,18283,194,1431287894723923970,1431285375704584198,1630080600000.0,2021-08-27 12:10:00,-400,,Boruto and Sarada in the ending 9 🔩 🥗  Please follow me for more Boruto content ! #BORUTO #Borusara  https://t.co/9PYNdQURWP,en,"['boruto', 'borusara']",[],1412423861170315290,1412423861170315290,DailyBoruto_,Boruto Daily,5,12,https://twitter.com/DailyBoruto_/status/1431287894723923970,[],['https://pbs.twimg.com/tweet_video_thumb/E9z0ttKWEAEuGOl.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9z0ttKWEAEuGOl.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,Boruto and Sarada in the ending 9 🔩 🥗 Please follow me for more Boruto content ! BORUTO Borusara,False,19
